sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.135;58;;60rounds;Yes;No;4;0.45247;0.84012;0.14056;0.50424;2.48862;BoulwareNegotiationParty@0;BoulwareNegotiationParty@1;BoulwareNegotiationParty@2;BoulwareNegotiationParty@3;0.624609679881641;0.8401159007943011;0.45246919686765785;0.571428075;0.624609679881641;0.8401159007943011;0.45246919686765785;0.571428075;0.48581912367796243;0.8401159007943011;0.40422006632704677;0.571428075;0.0;0.0;0.0;0.0;0.624609679881641;0.8401159007943011;0.45246919686765785;0.571428075;party1_utility.xml;party3_utility.xml;party2_utility.xml;party4_utility.xml
;2;Session genius.core.session.Session@29e6a7af failed: Failed to execute protocol: Execution failed of Agent17@4:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
;2;Session genius.core.session.Session@79eb3ce0 failed: Failed to execute protocol: Execution failed of Agent17@9:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
;2;Session genius.core.session.Session@4b38aa4 failed: Failed to execute protocol: Execution failed of Agent17@12:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
0.139;55;;60rounds;Yes;No;4;0.35095;0.84524;0.07022;0.52512;2.70795;BoulwareNegotiationParty@16;BoulwareNegotiationParty@17;Agent17@18;BoulwareNegotiationParty@19;0.6971864142164232;0.8145817434144133;0.3509491977241182;0.845237325;0.6971864142164232;0.8145817434144133;0.3509491977241182;0.845237325;0.6144323398823325;0.8145817434144133;0.41224569876841993;0.845237325;0.0;0.0;0.0;0.0;0.6971864142164232;0.8145817434144133;0.3509491977241182;0.845237325;party1_utility.xml;party3_utility.xml;party2_utility.xml;party4_utility.xml
;2;Session genius.core.session.Session@372966b4 failed: Failed to execute protocol: Execution failed of Agent17@20:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
;2;Session genius.core.session.Session@650cfff3 failed: Failed to execute protocol: Execution failed of Agent17@25:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
;2;Session genius.core.session.Session@427664d9 failed: Failed to execute protocol: Execution failed of Agent17@28:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
;2;Session genius.core.session.Session@6ada1b7f failed: Failed to execute protocol: Execution failed of Agent17@35:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
;2;Session genius.core.session.Session@385f68e3 failed: Failed to execute protocol: Execution failed of Agent17@36:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party3_utility;party2_utility;party4_utility
