sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.003;3;;60rounds;Yes;No;2;0.93369;0.95243;0.00000;0.00000;1.88612;ConcederNegotiationParty@14;ConcederNegotiationParty@15;0.9336940639944273;0.9524282207813943;0.9336940639944273;0.9524282207813943;0.9223685694622341;0.9999999999999999;0.0;0.0;0.9336940639944273;0.9524282207813943;party3_utility.xml;party4_utility.xml
0.003;3;;60rounds;Yes;No;2;0.91667;0.95796;0.00000;0.04321;1.87463;BoulwareNegotiationParty@16;ConcederNegotiationParty@17;0.9579557861297675;0.916673418162162;0.9579557861297675;0.916673418162162;1.0;0.8792475493734132;0.0;0.0;0.9579557861297675;0.916673418162162;party3_utility.xml;party4_utility.xml
3.484;9;;60rounds;Yes;No;2;0.72596;1.00000;0.00000;0.23598;1.72596;Agent17@18;ConcederNegotiationParty@19;0.9999999999999999;0.7259586914540839;0.9999999999999999;0.7259586914540839;0.9335974078990487;0.6723440289013224;0.0;0.0;0.9999999999999999;0.7259586914540839;party3_utility.xml;party4_utility.xml
0.002;3;;60rounds;Yes;No;2;0.93369;0.95243;0.00000;0.00000;1.88612;ConcederNegotiationParty@20;BoulwareNegotiationParty@21;0.9336940639944273;0.9524282207813943;0.9336940639944273;0.9524282207813943;0.9223685694622341;0.9999999999999999;0.0;0.0;0.9336940639944273;0.9524282207813943;party3_utility.xml;party4_utility.xml
0.023;43;;60rounds;Yes;No;2;0.91667;0.95796;0.00000;0.04321;1.87463;BoulwareNegotiationParty@22;BoulwareNegotiationParty@23;0.9579557861297675;0.916673418162162;0.9579557861297675;0.916673418162162;1.0;0.8792475493734132;0.0;0.0;0.9579557861297675;0.916673418162162;party3_utility.xml;party4_utility.xml
4.788;45;;60rounds;Yes;No;2;0.80633;0.85709;0.14304;0.15909;1.66342;Agent17@24;BoulwareNegotiationParty@25;0.8063336743651447;0.857091004152521;0.8063336743651447;0.857091004152521;0.8116016111164299;0.83577439254576;0.0;0.0;0.8063336743651447;0.857091004152521;party3_utility.xml;party4_utility.xml
1.940;6;;60rounds;Yes;No;2;0.80023;1.00000;0.00000;0.14169;1.80023;ConcederNegotiationParty@26;Agent17@27;0.8002312433989486;1.0;0.8002312433989486;1.0;0.7708547286317844;0.9474522813844618;0.0;0.0;0.8002312433989486;1.0;party3_utility.xml;party4_utility.xml
4.570;41;;60rounds;Yes;No;2;0.91667;0.95796;0.00000;0.04321;1.87463;BoulwareNegotiationParty@28;Agent17@29;0.9579557861297675;0.916673418162162;0.9579557861297675;0.916673418162162;1.0;0.8792475493734132;0.0;0.0;0.9579557861297675;0.916673418162162;party3_utility.xml;party4_utility.xml
3.481;14;;60rounds;Yes;No;2;0.89653;0.90511;0.06017;0.06017;1.80164;Agent17@30;Agent17@31;0.8965320532239032;0.9051060334630198;0.8965320532239032;0.9051060334630198;0.7436817774532728;0.7382805025645874;0.0;0.0;0.8965320532239032;0.9051060334630198;party3_utility.xml;party4_utility.xml
0.006;11;;60rounds;Yes;No;2;0.50439;0.73808;0.16732;0.33756;1.24248;ConcederNegotiationParty@32;ConcederNegotiationParty@33;0.5043919726345832;0.738084579861382;0.5043919726345832;0.738084579861382;0.615933773270959;0.6723117623677108;0.0;0.0;0.5043919726345832;0.738084579861382;party2_utility.xml;party4_utility.xml
0.012;24;;60rounds;Yes;No;2;0.55925;0.87241;0.08775;0.21675;1.43166;BoulwareNegotiationParty@34;ConcederNegotiationParty@35;0.8724146636774026;0.5592460663761619;0.8724146636774026;0.5592460663761619;0.9999999999999999;0.40834555430719843;0.0;0.0;0.8724146636774026;0.5592460663761619;party2_utility.xml;party4_utility.xml
5.117;13;;60rounds;Yes;No;2;0.42214;0.79771;0.14517;0.41864;1.21985;Agent17@36;ConcederNegotiationParty@37;0.42214159781467264;0.7977060837693418;0.42214159781467264;0.7977060837693418;0.3488844641074149;0.5950717853179318;0.0;0.0;0.42214159781467264;0.7977060837693418;party2_utility.xml;party4_utility.xml
0.015;27;;60rounds;Yes;No;2;0.37187;0.95243;0.09000;0.50122;1.32429;ConcederNegotiationParty@38;BoulwareNegotiationParty@39;0.3718663897702198;0.9524282207813943;0.3718663897702198;0.9524282207813943;0.37073977732486285;0.9999999999999999;0.0;0.0;0.3718663897702198;0.9524282207813943;party2_utility.xml;party4_utility.xml
0.037;50;;60rounds;Yes;No;2;0.57979;0.76187;0.13794;0.26056;1.34166;BoulwareNegotiationParty@40;BoulwareNegotiationParty@41;0.5797882688027742;0.7618678375878979;0.5797882688027742;0.7618678375878979;0.6983365008439028;0.7122576619686849;0.0;0.0;0.5797882688027742;0.7618678375878979;party2_utility.xml;party4_utility.xml
5.128;46;;60rounds;Yes;No;2;0.47277;0.96425;0.00000;0.41385;1.43702;Agent17@42;BoulwareNegotiationParty@43;0.47277305477113496;0.9642451973807676;0.47277305477113496;0.9642451973807676;0.3427440533996463;0.8266998307578751;0.0;0.0;0.47277305477113496;0.9642451973807676;party2_utility.xml;party4_utility.xml
5.070;13;;60rounds;Yes;No;2;0.54118;0.54770;0.30519;0.37465;1.08888;ConcederNegotiationParty@44;Agent17@45;0.5411819601212418;0.5477014602849722;0.5411819601212418;0.5477014602849722;0.575539497522037;0.3231839397606006;0.0;0.0;0.5411819601212418;0.5477014602849722;party2_utility.xml;party4_utility.xml
4.560;45;;60rounds;Yes;No;2;0.65184;0.66651;0.14610;0.21656;1.31835;BoulwareNegotiationParty@46;Agent17@47;0.6518361433215885;0.6665104742338589;0.6518361433215885;0.6665104742338589;0.8766958954421132;0.589785269759282;0.0;0.0;0.6518361433215885;0.6665104742338589;party2_utility.xml;party4_utility.xml
8.521;45;;60rounds;Yes;No;2;0.50014;1.00000;0.00000;0.31676;1.50014;Agent17@48;Agent17@49;1.0;0.5001367870300982;1.0;0.5001367870300982;0.8088043271636157;0.2177693732246742;0.0;0.0;1.0;0.5001367870300982;party2_utility.xml;party4_utility.xml
0.007;16;;60rounds;Yes;No;2;0.59242;0.74384;0.17846;0.28118;1.33625;ConcederNegotiationParty@50;ConcederNegotiationParty@51;0.5924153958552615;0.7438356227073275;0.5924153958552615;0.7438356227073275;0.6272930513065438;0.5383245227904709;0.0;0.0;0.5924153958552615;0.7438356227073275;party2_utility.xml;party3_utility.xml
0.010;22;;60rounds;Yes;No;2;0.71264;0.87241;0.03911;0.14021;1.58506;BoulwareNegotiationParty@52;ConcederNegotiationParty@53;0.8724146636774026;0.7126437601051814;0.8724146636774026;0.7126437601051814;0.9999999999999999;0.42839914852298755;0.0;0.0;0.8724146636774026;0.7126437601051814;party2_utility.xml;party3_utility.xml
3.474;9;;60rounds;Yes;No;2;0.78880;0.83535;0.04278;0.06541;1.62414;Agent17@54;ConcederNegotiationParty@55;0.7887962598526832;0.8353453168023751;0.7887962598526832;0.8353453168023751;0.8197920254369554;0.6721581928011154;0.0;0.0;0.7887962598526832;0.8353453168023751;party2_utility.xml;party3_utility.xml
0.013;32;;60rounds;Yes;No;2;0.38546;0.91347;0.09815;0.47086;1.29893;ConcederNegotiationParty@56;BoulwareNegotiationParty@57;0.3854611227517797;0.913468179264608;0.3854611227517797;0.913468179264608;0.3756491211883927;0.9776242504311627;0.0;0.0;0.3854611227517797;0.913468179264608;party2_utility.xml;party3_utility.xml
